danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.589,0.282,7,-17.457,1,0.0625,0.114,3.41e-06,0.121,0.288,140.008,audio_features,30Vhl8nJ1gjc8KIypMc1bK,spotify:track:30Vhl8nJ1gjc8KIypMc1bK,https://api.spotify.com/v1/tracks/30Vhl8nJ1gjc8KIypMc1bK,https://api.spotify.com/v1/audio-analysis/30Vhl8nJ1gjc8KIypMc1bK,231991,4
0.613,0.516,9,-10.881,0,0.0409,0.0432,0.0,0.221,0.342,92.062,audio_features,61xs95W1xf3rPujfNkzido,spotify:track:61xs95W1xf3rPujfNkzido,https://api.spotify.com/v1/tracks/61xs95W1xf3rPujfNkzido,https://api.spotify.com/v1/audio-analysis/61xs95W1xf3rPujfNkzido,204130,4
0.723,0.434,9,-10.44,0,0.0316,0.214,5.74e-05,0.0724,0.483,85.025,audio_features,5A0cl4pkePLoC8oAj4z4rp,spotify:track:5A0cl4pkePLoC8oAj4z4rp,https://api.spotify.com/v1/tracks/5A0cl4pkePLoC8oAj4z4rp,https://api.spotify.com/v1/audio-analysis/5A0cl4pkePLoC8oAj4z4rp,206743,4
0.575,0.845,10,-7.402,1,0.0269,0.00273,0.779,0.133,0.627,139.004,audio_features,0Up9O5R2q1FBJruTFKeI9r,spotify:track:0Up9O5R2q1FBJruTFKeI9r,https://api.spotify.com/v1/tracks/0Up9O5R2q1FBJruTFKeI9r,https://api.spotify.com/v1/audio-analysis/0Up9O5R2q1FBJruTFKeI9r,244000,4
0.584,0.835,1,-3.766,1,0.168,0.146,0.0,0.652,0.547,95.839,audio_features,72Xd3X8tBdtuGQ5u3PLVdO,spotify:track:72Xd3X8tBdtuGQ5u3PLVdO,https://api.spotify.com/v1/tracks/72Xd3X8tBdtuGQ5u3PLVdO,https://api.spotify.com/v1/audio-analysis/72Xd3X8tBdtuGQ5u3PLVdO,215000,4
0.25,0.495,6,-7.532,0,0.034,0.016,1.26e-06,0.105,0.24,172.109,audio_features,39k2UEjOsesXiLvn8f7XUT,spotify:track:39k2UEjOsesXiLvn8f7XUT,https://api.spotify.com/v1/tracks/39k2UEjOsesXiLvn8f7XUT,https://api.spotify.com/v1/audio-analysis/39k2UEjOsesXiLvn8f7XUT,249130,3
0.424,0.834,0,-13.659,1,0.0369,0.241,0.975,0.635,0.72,94.552,audio_features,2RG9MJyJDDuVA0tQy4E59P,spotify:track:2RG9MJyJDDuVA0tQy4E59P,https://api.spotify.com/v1/tracks/2RG9MJyJDDuVA0tQy4E59P,https://api.spotify.com/v1/audio-analysis/2RG9MJyJDDuVA0tQy4E59P,207955,4
0.925,0.34,8,-8.728,1,0.201,0.467,0.0646,0.119,0.434,131.985,audio_features,6nCTXrDv8T0yKWhOsESQo7,spotify:track:6nCTXrDv8T0yKWhOsESQo7,https://api.spotify.com/v1/tracks/6nCTXrDv8T0yKWhOsESQo7,https://api.spotify.com/v1/audio-analysis/6nCTXrDv8T0yKWhOsESQo7,168641,4
0.633,0.645,10,-8.393,1,0.0873,0.169,8.17e-06,0.177,0.422,110.015,audio_features,3VHO9zv37MOeijRH8MfkL7,spotify:track:3VHO9zv37MOeijRH8MfkL7,https://api.spotify.com/v1/tracks/3VHO9zv37MOeijRH8MfkL7,https://api.spotify.com/v1/audio-analysis/3VHO9zv37MOeijRH8MfkL7,203016,4
0.625,0.734,8,-7.815,0,0.0678,0.00704,4.47e-06,0.136,0.307,139.94,audio_features,2N6U8mWFrjSAuT3qgMLwAG,spotify:track:2N6U8mWFrjSAuT3qgMLwAG,https://api.spotify.com/v1/tracks/2N6U8mWFrjSAuT3qgMLwAG,https://api.spotify.com/v1/audio-analysis/2N6U8mWFrjSAuT3qgMLwAG,195429,4
