id_str,username,text,date,user_language,URLs,user_id,followers_count,friends_count,user_location,source_device,retweet_count,reply_count,like_count,text_clean
1526462845835165698,CannonMooreESN,"https://t.co/lN2CW7KxeY

LET GOO!! #Music #Monstercat #Jvke #popmusic #pop #dancepop https://t.co/EoZyANxULv",2022-05-17 07:21:17+00:00,en,['https://open.spotify.com/track/7EqPX1fuT0zL86YJD81YyE?si=qJ_ORl5HQcC8CLUQqxVbKg'],1059085272594481152,5,23,"Orlando, FL","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,2,"

let goo music monstercat jvke popmusic pop dancepop "
1526452279523647488,imusicmarketer,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens. 

https://t.co/YSpS2zbhOE

#newmusic #popmusic",2022-05-17 06:39:18+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],1693482374,30077,21939,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens 



newmusic popmusic"
1526413800500510720,TommyBlunt95,"Kevin Liao is a new upcoming singer-songwriter artist from Taiwan. Kevin pools together his vast and varied interest in different genres of music and performance to create songs that feature unique blends of sounds and genres.

https://t.co/xPviI7NMFB 

#newmusic #popmusic",2022-05-17 04:06:24+00:00,en,['https://open.spotify.com/track/6RQSaKsmteYKubtF57ok57'],803945912271679488,34080,23587,"USA, UK, Australia & worldwide","<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"kevin liao is a new upcoming singersongwriter artist from taiwan kevin pools together his vast and varied interest in different genres of music and performance to create songs that feature unique blends of sounds and genres

 

newmusic popmusic"
1526244667485986817,MySocialPoint,"Kevin Liao is a new upcoming singer-songwriter artist from Taiwan. Kevin pools together his vast and varied interest in different genres of music and performance to create songs that feature unique blends of sounds and genres.

https://t.co/xOkPIc2ZvO 

#newmusic #popmusic",2022-05-16 16:54:19+00:00,en,['https://open.spotify.com/track/6RQSaKsmteYKubtF57ok57'],54529748,49940,37616,USA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"kevin liao is a new upcoming singersongwriter artist from taiwan kevin pools together his vast and varied interest in different genres of music and performance to create songs that feature unique blends of sounds and genres

 

newmusic popmusic"
1526192088576102400,IndieArtistz,"This song talks about the final stage of a relationship: getting over your ex. In this song, Daniela realizes that her ex isn’t over her and that he probably never will, because she feels like she is one of a kind and unforgettable...

https://t.co/a7lGWiN99i

#popmusic #RnB",2022-05-16 13:25:23+00:00,en,['https://open.spotify.com/track/5rSDJM6SA6xTS71w3r29yC'],196996976,51096,42528,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"this song talks about the final stage of a relationship getting over your ex in this song daniela realizes that her ex isnt over her and that he probably never will because she feels like she is one of a kind and unforgettable



popmusic rnb"
1526135212928815106,ArtistsandMusic,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens. 

https://t.co/8AsdwIKLEm

#newmusic #popmusic",2022-05-16 09:39:23+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],31327090,231836,229818,United States,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,1,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens 



newmusic popmusic"
1526103716369145857,RapStarDestiny,"Kevin Liao is a new upcoming singer-songwriter artist from Taiwan. Kevin pools together his vast and varied interest in different genres of music and performance to create songs that feature unique blends of sounds and genres.

https://t.co/PzjW9z6HVL 

#newmusic #popmusic",2022-05-16 07:34:14+00:00,en,['https://open.spotify.com/track/6RQSaKsmteYKubtF57ok57'],1474616655179251719,179,1421,"Houston, TX","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",0,0,0,"kevin liao is a new upcoming singersongwriter artist from taiwan kevin pools together his vast and varied interest in different genres of music and performance to create songs that feature unique blends of sounds and genres

 

newmusic popmusic"
1526102773569290241,imusicbuzz,"Kevin Liao is a new upcoming singer-songwriter artist from Taiwan. Kevin pools together his vast and varied interest in different genres of music and performance to create songs that feature unique blends of sounds and genres.

https://t.co/3dWeDXlKX8 

#newmusic #popmusic",2022-05-16 07:30:29+00:00,en,['https://open.spotify.com/track/6RQSaKsmteYKubtF57ok57'],420875454,200552,187471,"Great Sounds City, LA","<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"kevin liao is a new upcoming singersongwriter artist from taiwan kevin pools together his vast and varied interest in different genres of music and performance to create songs that feature unique blends of sounds and genres

 

newmusic popmusic"
1526077331164516353,iMusicSuccess,"This song talks about the final stage of a relationship: getting over your ex. In this song, Daniela realizes that her ex isn’t over her and that he probably never will, because she feels like she is one of a kind and unforgettable...

https://t.co/gejENR0XFI

#popmusic #RnB",2022-05-16 05:49:23+00:00,en,['https://open.spotify.com/track/5rSDJM6SA6xTS71w3r29yC'],562207202,74172,57235,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"this song talks about the final stage of a relationship getting over your ex in this song daniela realizes that her ex isnt over her and that he probably never will because she feels like she is one of a kind and unforgettable



popmusic rnb"
1526051651022381059,ArtistsandMusic,"Kevin Liao is a new upcoming singer-songwriter artist from Taiwan. Kevin pools together his vast and varied interest in different genres of music and performance to create songs that feature unique blends of sounds and genres.

https://t.co/pX1ytm12Co 

#newmusic #popmusic",2022-05-16 04:07:20+00:00,en,['https://open.spotify.com/track/6RQSaKsmteYKubtF57ok57'],31327090,231836,229818,United States,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,1,"kevin liao is a new upcoming singersongwriter artist from taiwan kevin pools together his vast and varied interest in different genres of music and performance to create songs that feature unique blends of sounds and genres

 

newmusic popmusic"
