danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.433,0.919,9,-5.138,1,0.0566,0.135,1.56e-06,0.0818,0.74,93.038,audio_features,0UcPhk1gMCFeOhFjw9FFtv,spotify:track:0UcPhk1gMCFeOhFjw9FFtv,https://api.spotify.com/v1/tracks/0UcPhk1gMCFeOhFjw9FFtv,https://api.spotify.com/v1/audio-analysis/0UcPhk1gMCFeOhFjw9FFtv,157747,4
0.564,0.915,7,-6.036,1,0.0506,0.355,0.73,0.147,0.824,103.966,audio_features,0BzBm5y4mVSXFgPiEAHDhx,spotify:track:0BzBm5y4mVSXFgPiEAHDhx,https://api.spotify.com/v1/tracks/0BzBm5y4mVSXFgPiEAHDhx,https://api.spotify.com/v1/audio-analysis/0BzBm5y4mVSXFgPiEAHDhx,253774,4
0.696,0.791,4,-13.056,1,0.22,0.296,0.0,0.318,0.965,130.246,audio_features,2sZjmnS1BSoc1svOu5P8LM,spotify:track:2sZjmnS1BSoc1svOu5P8LM,https://api.spotify.com/v1/tracks/2sZjmnS1BSoc1svOu5P8LM,https://api.spotify.com/v1/audio-analysis/2sZjmnS1BSoc1svOu5P8LM,164933,4
0.339,0.879,4,-8.602,0,0.0622,3.09e-05,0.14,0.0894,0.388,150.147,audio_features,6vbTNyQvMjdkEpaFfufwqy,spotify:track:6vbTNyQvMjdkEpaFfufwqy,https://api.spotify.com/v1/tracks/6vbTNyQvMjdkEpaFfufwqy,https://api.spotify.com/v1/audio-analysis/6vbTNyQvMjdkEpaFfufwqy,186859,4
0.304,0.733,10,-5.794,0,0.0684,0.256,0.00133,0.0925,0.204,127.932,audio_features,42s7EeGDVPMVg1HhwpE71a,spotify:track:42s7EeGDVPMVg1HhwpE71a,https://api.spotify.com/v1/tracks/42s7EeGDVPMVg1HhwpE71a,https://api.spotify.com/v1/audio-analysis/42s7EeGDVPMVg1HhwpE71a,321364,4
0.712,0.732,10,-3.731,1,0.0332,0.0579,0.000124,0.227,0.672,127.925,audio_features,1M65QIDUGHX5iccsPZ83hd,spotify:track:1M65QIDUGHX5iccsPZ83hd,https://api.spotify.com/v1/tracks/1M65QIDUGHX5iccsPZ83hd,https://api.spotify.com/v1/audio-analysis/1M65QIDUGHX5iccsPZ83hd,148125,4
0.679,0.659,2,-4.189,1,0.0569,0.00179,1.05e-06,0.262,0.649,113.061,audio_features,3AHV42ObBOu6QZoiCzuF5t,spotify:track:3AHV42ObBOu6QZoiCzuF5t,https://api.spotify.com/v1/tracks/3AHV42ObBOu6QZoiCzuF5t,https://api.spotify.com/v1/audio-analysis/3AHV42ObBOu6QZoiCzuF5t,186067,4
0.649,0.706,1,-7.118,1,0.0801,0.00876,0.0,0.0747,0.506,147.852,audio_features,2oSCnKHMNfFggm00FQLCvM,spotify:track:2oSCnKHMNfFggm00FQLCvM,https://api.spotify.com/v1/tracks/2oSCnKHMNfFggm00FQLCvM,https://api.spotify.com/v1/audio-analysis/2oSCnKHMNfFggm00FQLCvM,190880,4
0.582,0.878,1,-4.893,1,0.0538,0.000324,6.31e-05,0.124,0.442,124.067,audio_features,23DoVvQR7cK6dQ3OmljjUK,spotify:track:23DoVvQR7cK6dQ3OmljjUK,https://api.spotify.com/v1/tracks/23DoVvQR7cK6dQ3OmljjUK,https://api.spotify.com/v1/audio-analysis/23DoVvQR7cK6dQ3OmljjUK,219798,4
0.735,0.565,7,-4.972,1,0.0561,0.101,5.36e-05,0.162,0.841,140.009,audio_features,1aXWzWjj5Lchfm44Uet9nZ,spotify:track:1aXWzWjj5Lchfm44Uet9nZ,https://api.spotify.com/v1/tracks/1aXWzWjj5Lchfm44Uet9nZ,https://api.spotify.com/v1/audio-analysis/1aXWzWjj5Lchfm44Uet9nZ,167096,4
0.639,0.595,4,-9.364,1,0.0365,0.0286,0.0768,0.108,0.475,119.979,audio_features,68ukxJDpfgxL4uYM393qNH,spotify:track:68ukxJDpfgxL4uYM393qNH,https://api.spotify.com/v1/tracks/68ukxJDpfgxL4uYM393qNH,https://api.spotify.com/v1/audio-analysis/68ukxJDpfgxL4uYM393qNH,244617,4
0.354,0.267,1,-13.69,1,0.0281,0.731,0.000402,0.0858,0.113,94.219,audio_features,08fa9LFcFBTcilB3iq2e2A,spotify:track:08fa9LFcFBTcilB3iq2e2A,https://api.spotify.com/v1/tracks/08fa9LFcFBTcilB3iq2e2A,https://api.spotify.com/v1/audio-analysis/08fa9LFcFBTcilB3iq2e2A,289749,4
0.56,0.927,4,-4.863,0,0.235,0.0353,0.0,0.114,0.675,194.992,audio_features,0xR1jHC0542lSr5F6ofZYY,spotify:track:0xR1jHC0542lSr5F6ofZYY,https://api.spotify.com/v1/tracks/0xR1jHC0542lSr5F6ofZYY,https://api.spotify.com/v1/audio-analysis/0xR1jHC0542lSr5F6ofZYY,260308,4
0.697,0.714,2,-6.845,1,0.533,0.138,0.0,0.27,0.294,140.009,audio_features,49bnQGBdEpurHlD3yKXknd,spotify:track:49bnQGBdEpurHlD3yKXknd,https://api.spotify.com/v1/tracks/49bnQGBdEpurHlD3yKXknd,https://api.spotify.com/v1/audio-analysis/49bnQGBdEpurHlD3yKXknd,214738,4
0.472,0.574,1,-7.536,0,0.0247,0.0152,0.000189,0.0405,0.512,78.954,audio_features,3VTdSZiInYN3yrYCBejSQi,spotify:track:3VTdSZiInYN3yrYCBejSQi,https://api.spotify.com/v1/tracks/3VTdSZiInYN3yrYCBejSQi,https://api.spotify.com/v1/audio-analysis/3VTdSZiInYN3yrYCBejSQi,172097,4
0.512,0.589,7,-13.016,0,0.0283,0.0554,0.936,0.162,0.0399,125.011,audio_features,5HjjUFmJMsU9Zy5XWMYiSb,spotify:track:5HjjUFmJMsU9Zy5XWMYiSb,https://api.spotify.com/v1/tracks/5HjjUFmJMsU9Zy5XWMYiSb,https://api.spotify.com/v1/audio-analysis/5HjjUFmJMsU9Zy5XWMYiSb,326400,4
0.51,0.145,7,-11.946,1,0.0378,0.879,2.47e-06,0.075,0.437,130.803,audio_features,1GcSdb7n29Gb4lxC8H214v,spotify:track:1GcSdb7n29Gb4lxC8H214v,https://api.spotify.com/v1/tracks/1GcSdb7n29Gb4lxC8H214v,https://api.spotify.com/v1/audio-analysis/1GcSdb7n29Gb4lxC8H214v,268000,4
0.476,0.443,11,-8.688,1,0.0503,0.718,1.59e-06,0.189,0.257,74.144,audio_features,6eXHtOGepsKaJ6UzN42YlG,spotify:track:6eXHtOGepsKaJ6UzN42YlG,https://api.spotify.com/v1/tracks/6eXHtOGepsKaJ6UzN42YlG,https://api.spotify.com/v1/audio-analysis/6eXHtOGepsKaJ6UzN42YlG,231373,4
0.28,0.478,9,-8.755,0,0.037,0.674,5.85e-05,0.483,0.0807,111.65,audio_features,6krYS8KtmNAYyb5uTZiYW4,spotify:track:6krYS8KtmNAYyb5uTZiYW4,https://api.spotify.com/v1/tracks/6krYS8KtmNAYyb5uTZiYW4,https://api.spotify.com/v1/audio-analysis/6krYS8KtmNAYyb5uTZiYW4,96240,4
