rank,song,artist,url
72,"""Oh My God""",Adele,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
73,"""Better Days""","Neiked, Mae Muller and Polo G",https://open.spotify.com/track/6FHdy1VM3i6oVbvPO2DVAR
74,"""Meet Me at Our Spot""",The Anxiety: Willow and Tyler Cole,https://open.spotify.com/track/3D7BpZ01kLRcjTGelbu83N
75,"""Fingers Crossed""",Lauren Spencer-Smith,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
76,"""All Too Well (Taylor's Version)""",Taylor Swift,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
77,"""Party""",Bad Bunny and Rauw Alejandro,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN?si=34e98492b60f4c94
78,"""Después de la Playa""",Bad Bunny,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
79,"""You Should Probably Leave""",Chris Stapleton,https://open.spotify.com/track/2UikqkwBv7aIvlixeVXHWt
80,"""Rockin' Around the Christmas Tree""",Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
81,"""Broadway Girls""",Lil Durk featuring Morgan Wallen,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd?si=370e5a61f95c4da1
82,"""Take My Name""",Parmalee,https://open.spotify.com/track/2afB4eV1KWBqLqFqME6PTh
83,"""What Happened to Virgil""",Lil Durk featuring Gunna,https://open.spotify.com/track/7ohROa13QK43JBRqfCmz4P?si=d75bf3a06bd64c88
84,"""Puffin on Zootiez""",Future,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi
85,"""Like I Love Country Music""",Kane Brown,https://open.spotify.com/track/3j1xkzTW8owIphkWV51V9s
86,"""Jingle Bell Rock""",Bobby Helms,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
87,"""Ojitos Lindos""",Bad Bunny and Bomba Estéreo,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW?si=916025cf79294238
88,"""Trouble with a Heartbreak""",Jason Aldean,https://open.spotify.com/track/3HO30hRbkOLU6ZWERayfQO
89,"""A Holly Jolly Christmas""",Burl Ives,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
90,"""Kiss Me More""",Doja Cat featuring SZA,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK?si=1a63fba0f359424f
91,"""She Likes It""",Russell Dickerson featuring Jake Scott,https://open.spotify.com/track/6VVqPBFZIbcmv14zNfOc13?si=26e50b8eef664441
92,"""Never Say Never""",Cole Swindell and Lainey Wilson,https://open.spotify.com/track/3K51ImeayEMgERmRNjKc3B
93,"""Damn Strait""",Scotty McCreery,https://open.spotify.com/track/4jp9FimhP2bQ93vR0A5r7b
94,"""She's All I Wanna Be""",Tate McRae,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
95,"""Last Night Lonely""",Jon Pardi,https://open.spotify.com/track/0k11c8vwyeNSGQex6UMa1v
96,"""Flower Shops""",Ernest featuring Morgan Wallen,https://open.spotify.com/track/2ccuOtUjIyx3tPcsnpeBzJ?si=3de29ca6605c4ebe
97,"""To the Moon""",Jnr Choi and Sam Tompkins,https://open.spotify.com/track/3rF1pPjaDjWuIUCTXpMGIv
98,"""Unholy""",Sam Smith and Kim Petras,https://open.spotify.com/track/3bXRd0yVb5sw2WVblM5URR
99,"""One Mississippi""",Kane Brown,https://open.spotify.com/track/4FdPnT2cFrpWCmWZd7GXc3
100,"""Circles Around This Town""",Maren Morris,https://open.spotify.com/track/13G5xv1wUKvJYbK0wYmioN
